# OurAirports airports.csv, filtered and vendored. Nothing here is typed by hand.
#
# Source     https://davidmegginson.github.io/ourairports-data/airports.csv
# Licence    Public domain (OurAirports releases its data into the public domain)
# Retrieved  2026-09-20
# Filter     iso_country = IN, iata_code non-empty, scheduled_service = yes
# Rows       116
# Columns    kept verbatim from the source, unused source columns dropped
#
# Refreshing this file: re-run the filter above against a fresh download. Do not
# edit rows in place. A correction belongs upstream in OurAirports, so the next
# refresh does not silently undo it.
#
# Lines beginning with # are skipped by the loader. Everything after is RFC 4180.
"ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","wikipedia_link"
"VIAG","medium_airport","Agra Airport / Agra Air Force Station","27.157975","77.961025","551","AS","IN","IN-UP","Agra","yes","VIAG","AGR","https://en.wikipedia.org/wiki/Agra_Airport"
"VOAT","medium_airport","Agatti Airport","10.8237","72.176003","14","AS","IN","IN-LD","Agatti","yes","VOAT","AGX","https://en.wikipedia.org/wiki/Agatti_Aerodrome"
"IN-0393","medium_airport","Maa Mahamaya Airport","22.98753","83.19612","1930","AS","IN","IN-CT","Ambikapur","yes","VEAP","AHA","https://en.wikipedia.org/wiki/Maa_Mahamaya_Airport"
"VIAX","small_airport","Adampur Airport","31.4338","75.758797","775","AS","IN","IN-PB","Adampur","yes","VIAX","AIP","https://en.wikipedia.org/wiki/Adampur_Air_Force_Base"
"VELP","medium_airport","Lengpui Airport","23.840599","92.619698","1398","AS","IN","IN-MZ","Aizawl (Lengpui)","yes","VELP","AJL","https://en.wikipedia.org/wiki/Lengpui_Airport"
"VAAH","large_airport","Sardar Vallabh Patel International Airport","23.0772","72.634697","189","AS","IN","IN-GJ","Ahmedabad","yes","VAAH","AMD","https://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport"
"VIAR","large_airport","Sri Guru Ram Das Ji International Airport","31.7096","74.797302","756","AS","IN","IN-PB","Amritsar","yes","VIAR","ATQ","https://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport"
"IN-0065","medium_airport","Amravati  Airport","20.814608","77.717765","1125","AS","IN","IN-MM","Amravati","yes","VAAM","AVR","https://en.wikipedia.org/wiki/Amravati_Airport"
"IN-0025","medium_airport","Maharshi Valmiki International Airport","26.747736","82.163664","335","AS","IN","IN-UP","Faizabad","yes","VEAY","AYJ","https://en.wikipedia.org/wiki/Ayodhya_Airport"
"VEBS","large_airport","Biju Patnaik International Airport","20.251021","85.814747","138","AS","IN","IN-OR","Bhubaneswar","yes","VEBS","BBI","https://en.wikipedia.org/wiki/Biju_Patnaik_Airport"
"VABO","large_airport","Vadodara International Airport","22.336201","73.226303","129","AS","IN","IN-GJ","Vadodara","yes","VABO","BDQ","https://en.wikipedia.org/wiki/Vadodara_Airport"
"VIBY","medium_airport","Bareilly Air Force Station","28.4221","79.450798","580","AS","IN","IN-UP","Bareilly","yes","VIBY","BEK","https://en.wikipedia.org/wiki/Trishul_Air-base"
"VABJ","medium_airport","Bhuj Airport","23.2877998352","69.6701965332","268","AS","IN","IN-GJ","Bhuj","yes","VABJ","BHJ","https://en.wikipedia.org/wiki/Bhuj_Airport"
"VABP","large_airport","Raja Bhoj International Airport","23.2875","77.337402","1711","AS","IN","IN-MP","Bhopal","yes","VABP","BHO","https://en.wikipedia.org/wiki/Bhopal_Airport"
"VABV","medium_airport","Bhavnagar Airport","21.752199173","72.1852035522","44","AS","IN","IN-GJ","Bhavnagar","yes","VABV","BHU","https://en.wikipedia.org/wiki/Bhavnagar_Airport"
"VOBL","large_airport","Kempegowda International Airport Bengaluru","13.1979","77.706299","3000","AS","IN","IN-KA","Bengaluru","yes","VOBL","BLR","https://en.wikipedia.org/wiki/Kempegowda_International_Airport"
"VABB","large_airport","Chhatrapati Shivaji Maharaj International Airport","19.088699","72.867897","39","AS","IN","IN-MM","Mumbai","yes","VABB","BOM","https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport"
"VOCL","large_airport","Calicut International Airport","11.135996","75.955152","342","AS","IN","IN-KL","Calicut","yes","VOCL","CCJ","https://en.wikipedia.org/wiki/Calicut_International_Airport"
"VECC","large_airport","Netaji Subhash Chandra Bose International Airport","22.654012","88.44765","16","AS","IN","IN-WB","Kolkata","yes","VECC","CCU","https://en.wikipedia.org/wiki/Netaji_Subhash_Chandra_Bose_International_Airport"
"VOCP","medium_airport","Kadapa Airport","14.513154","78.769183","430","AS","IN","IN-AP","Kadapa","yes","VOCP","CDP","https://en.wikipedia.org/wiki/Kadapa_Airport"
"VOCB","large_airport","Coimbatore International Airport","11.03","77.043404","1324","AS","IN","IN-TN","Coimbatore","yes","VOCB","CJB","https://en.wikipedia.org/wiki/Coimbatore_Airport"
"VOKN","large_airport","Kannur International Airport","11.916343","75.544979","330","AS","IN","IN-KL","Kannur","yes","VOKN","CNN","https://en.wikipedia.org/wiki/Kannur_International_Airport"
"VOCI","large_airport","Cochin International Airport","10.151047","76.400838","30","AS","IN","IN-KL","Kochi","yes","VOCI","COK","https://en.wikipedia.org/wiki/Cochin_International_Airport"
